genus,species,mean_length,mean_width
Ipomopsis,effusa,1.1188333333333333,0.235
Ipomopsis,globularis,0.6393333333333333,0.17700000000000002
Ipomopsis,gossypifera,0.4811111111111111,0.10455555555555555
Ipomopsis,gunnisonii,0.6241666666666666,0.13725
Ipomopsis,guttata,1.7264444444444444,0.24655555555555556
Ipomopsis,laxiflora,2.3430526315789475,0.24594444444444444
Ipomopsis,longiflora,4.434537037037037,0.2786666666666667
Ipomopsis,macombii,1.904,0.22955555555555557
Ipomopsis,macrosiphon,3.3288333333333333,0.2826666666666667
Ipomopsis,multiflora,1.0041111111111112,0.18755555555555556
Ipomopsis,pinnata,1.0522666666666667,0.21093333333333333
Ipomopsis,polyantha,0.9065416666666667,0.23466666666666666
Ipomopsis,polycladon,0.366,0.115875
Ipomopsis,pringlei,2.8345555555555557,0.442
Ipomopsis,pumila,0.9245714285714286,0.14933333333333335
Ipomopsis,roseata,0.8653333333333333,0.15194444444444444
Ipomopsis,rubra,2.962666666666667,0.4706666666666667
Ipomopsis,sancti-spiritus,1.965111111111111,0.2793333333333333
Ipomopsis,sonorae,0.5640000000000001,0.1132
Ipomopsis,spicata,0.761375,0.182375
Ipomopsis,tenuifolia,0.971,0.1555
Ipomopsis,tenuituba,3.8475833333333336,0.30283333333333334
Ipomopsis,thurberi,3.2145333333333332,0.3177333333333333
Ipomopsis,tridactyla,0.8196666666666667,0.178
Ipomopsis,wrightii,0.9605,0.22291666666666668
Langloisia,punctata,1.365888888888889,0.34855555555555556
Langloisia,setosissima,1.014,0.261
Lathrocasis,tenerrima,0.28144444444444444,0.108
Leptosiphon,acicularis,1.6908888888888889,0.21566666666666667
Leptosiphon,ambiguus,1.4895,0.2665
Leptosiphon,androsaceus,2.3673333333333333,0.29533333333333334
Leptosiphon,aureus,1.0557777777777777,0.33955555555555555
Leptosiphon,bicolor,1.5514166666666667,0.18866666666666668
Leptosiphon,bolanderi,0.874,0.112
Leptosiphon,breviculus,2.1363333333333334,0.3273333333333333
Leptosiphon,ciliatus,0.9102,0.15786666666666666
Leptosiphon,filipes,0.5931666666666667,0.225
Leptosiphon,floribundus,1.2546666666666666,0.268
Leptosiphon,grandiflorus,2.533,0.366
Leptosiphon,harknessii,0.45733333333333337,0.17216666666666666
Leptosiphon,jamauensis,1.3456666666666668,0.30533333333333335
Leptosiphon,jepsonii,2.5913333333333335,0.21466666666666667
Leptosiphon,lemmonii,0.8395555555555556,0.263
Leptosiphon,liniflorus,0.5586666666666666,0.182
Leptosiphon,mariposianus,1.064,0.31066666666666665
Leptosiphon,montanus,2.1296666666666666,0.3516666666666667
Leptosiphon,nudatus,1.5516666666666667,0.28300000000000003
Leptosiphon,nuttallii,1.35175,0.25808333333333333
Leptosiphon,oblanceolatus,0.44766666666666666,0.12466666666666668
